so_id,so_num,customer_id,status,date_issued,date_first_ship,date_completed,ship_to_name,ship_to_address,ship_to_city,ship_to_state,ship_to_zip,ship_to_country,ship_to_key,customer_po,salesman,total_price,sub_total
95465,1478483,74,Fulfilled,2025-10-02 15:01:34.526000,2025-10-06 00:00:00,2025-10-06 15:09:02.609000,16TH & DOLORES-SFO AP (T2),"SFO AIRPORT-TERMINAL 2
SPACE D.2.325",SAN FRANCISCO,CA,94128,US,16TH & DOLORES-SFO AP (T2)|SAN FRANCISCO|CA|94128|US,678785,hmorales,302.400000000,302.400000000
95466,1478484,74,Fulfilled,2025-10-02 15:03:34.561000,2025-10-06 00:00:00,2025-10-06 15:06:01.186000,LICK-DFW AIRPORT,"LICK-DFW AIRPORT
2610 N INTL PKWY
TERMINAL E GATE E34 SPACE 109 C",DALLAS,TX,75261,US,LICK-DFW AIRPORT|DALLAS|TX|75261|US,678772,hmorales,241.920000000,241.920000000
96561,1478577,74,Fulfilled,2025-10-09 14:20:01.124000,2025-10-13 00:00:00,2025-10-13 12:39:01.219000,NATALIES CANDY AT SEA-TAC  AP,"NATALIES CANDY AT SEA-TAC AP
17801 PACIFIC HIGHWAY SO
NORTH SATELLITE
SPACE NS-12",Seattle,WA,98158,US,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,681122,hmorales,241.920000000,241.920000000
96562,1478578,74,Fulfilled,2025-10-09 14:21:47.420000,2025-10-13 00:00:00,2025-10-13 12:39:00.985000,SHOREPOINTS MARKET-EWR AIRPORT (T1),"SHOREPOINTS MARKET-EWR AIRPORT (T1)
2353 US HIGHWAY 130 STE A
C/O WHSMITH - GXO DC",DAYTON,NJ,08810,US,SHOREPOINTS MARKET-EWR AIRPORT (T1)|DAYTON|NJ|08810|US,681123,hmorales,241.920000000,241.920000000
96563,1478579,74,Fulfilled,2025-10-09 14:23:18.437000,2025-10-13 00:00:00,2025-10-13 12:39:01.767000,UPTOWN KIOSK 2-PHX AP,"UPTOWN KIOSK 2-PHX AP
3400 E SKY HARBOR BLVD
SPACE # T4S1
Term 4, Lvl 3, Near Gate D11",Phoenix,AZ,85034,US,UPTOWN KIOSK 2-PHX AP|Phoenix|AZ|85034|US,681110,hmorales,241.920000000,241.920000000
98129,1478626,74,Fulfilled,2025-10-17 10:48:56.365000,2025-10-20 00:00:00,2025-10-20 15:18:01.791000,SILICON VALLEY NEWS-SFO AP,"SILICON VALLEY NEWS-SFO AP
100 INTERNATIONAL LOOP
TERM 3, F GATE",San Francisco,CA,94128,US,SILICON VALLEY NEWS-SFO AP|San Francisco|CA|94128|US,683317,hmorales,362.880000000,362.880000000
98131,1478627,74,Fulfilled,2025-10-17 10:52:03.632000,2025-10-20 00:00:00,2025-10-20 14:30:03.070000,0440 DC ARTS DISTRICT MARKET-DCA,"C/O WHSMITH- GXO
2353 US HIGHWAY 130 STE",Dayton,NJ,08810,US,0440 DC ARTS DISTRICT MARKET-DCA|Dayton|NJ|08810|US,683323,hmorales,241.920000000,241.920000000
98132,1478628,74,Fulfilled,2025-10-17 10:53:46.523000,2025-10-20 00:00:00,2025-10-20 14:33:02.177000,GOTHAM NEWS-MOYNIHAN TRAIN HALL,"GOTHAM NEWS
2353 US HIGHWAY 130
STE A
MOYNIHAN TRAIN HALL",Dayton,NJ,08810,US,GOTHAM NEWS-MOYNIHAN TRAIN HALL|Dayton|NJ|08810|US,683301,hmorales,241.920000000,241.920000000
98133,1478629,74,Fulfilled,2025-10-17 10:55:27.241000,2025-10-20 00:00:00,2025-10-20 15:12:02.181000,THE WELL - SMF AP,"THE WELL - SMF AP
6900 AIRPORT BLVD
TERM A",Sacramento,CA,95837,US,THE WELL - SMF AP|Sacramento|CA|95837|US,683309,hmorales,241.920000000,241.920000000
98135,1478630,74,Fulfilled,2025-10-17 10:57:07.351000,2025-10-20 00:00:00,2025-10-20 15:06:01.744000,DISTRICT MARKET-BWI AIRPORT,"2353 US HIGHWAY 130 STE
C/O WHSMITH-GXO",DAYTON,NJ,08810,US,DISTRICT MARKET-BWI AIRPORT|DAYTON|NJ|08810|US,683314,hmorales,241.920000000,241.920000000
98136,1478631,74,Fulfilled,2025-10-17 10:58:50.774000,2025-10-20 00:00:00,2025-10-20 15:15:30.477000,THE ARTS DISTRICT MARKET - SAN,"C/O BRADFORD AIRPORT LOGISTICS
2247 WEST WASHINGTON STREET",SAN DIEGO,CA,92110,US,THE ARTS DISTRICT MARKET - SAN|SAN DIEGO|CA|92110|US,683320,hmorales,302.400000000,302.400000000
98138,1478632,74,Fulfilled,2025-10-17 11:00:34.305000,2025-10-20 00:00:00,2025-10-20 14:36:02.192000,0522 SLC Public Market-SPace #CAE 2-003,"0522 SLC Public Market-SPace #CAE 2-003
C/O CDR CTR Bradford Logistics
3619 W 510 North",Salt Lake City,UT,84116,US,0522 SLC Public Market-SPace #CAE 2-003|Salt Lake City|UT|84116|US,683298,hmorales,241.920000000,241.920000000
98144,1478633,74,Fulfilled,2025-10-17 11:01:57.243000,2025-10-20 00:00:00,2025-10-20 14:30:02.135000,CAPITOL FILE-DCA AP (T-CNC-7),"C/O WHSMITH-GXO
2353 US HIGHWAY 
130 STE",Dayton,NJ,08810,US,CAPITOL FILE-DCA AP (T-CNC-7)|Dayton|NJ|08810|US,683303,hmorales,241.920000000,241.920000000
98145,1478634,74,Fulfilled,2025-10-17 11:03:11.818000,2025-10-20 00:00:00,2025-10-20 14:33:02.427000,DEPARTURES AT SFO AP,"DEPARTURES AT SFO AP
1 TERMINAL SFO AIRPORT
SPACE B.2.284",San Francisco,CA,94128,US,DEPARTURES AT SFO AP|San Francisco|CA|94128|US,683310,hmorales,241.920000000,241.920000000
98146,1478635,74,Fulfilled,2025-10-17 11:04:35.990000,2025-10-20 00:00:00,2025-10-20 14:36:01.801000,LA CONFIDENTIAL- LAX AP,"LA CONFIDENTIAL- LAX AP
1924 E MAPLE AVE
UNIT B
C/O CREWS 1972",El Segundo,CA,90245,US,LA CONFIDENTIAL- LAX AP|El Segundo|CA|90245|US,683316,hmorales,241.920000000,241.920000000
98148,1478636,74,Fulfilled,2025-10-17 11:05:49.447000,2025-10-20 00:00:00,2025-10-20 14:36:02.520000,0430 Motown Greatest Hits #430 Suite 3-2,"0430 Motown Greatest Hits
C/O Bradford Logistics
2588 World Gateway Place Suite T1-160",Detroit,MI,48242,US,0430 Motown Greatest Hits #430 Suite 3-2|Detroit|MI|48242|US,683322,hmorales,241.920000000,241.920000000
98149,1478637,74,Fulfilled,2025-10-17 11:07:42.459000,2025-10-20 00:00:00,2025-10-20 14:42:06.157000,SIX POINTS MARKET-ORD AP,"ALM
520 OLD CARGO RD , TERMINAL 5 EAST DOCK",Chicago,IL,60666,US,SIX POINTS MARKET-ORD AP|Chicago|IL|60666|US,683299,hmorales,241.920000000,241.920000000
98150,1478638,74,Fulfilled,2025-10-17 11:09:41.070000,2025-10-20 00:00:00,2025-10-20 14:30:02.758000,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55),"WHSMITH C/O HYPERION
414 N BROADWAY UNIT C",Denver,CO,80203,US,FLIGHT STOP-DEN AIRPORT (GATE 33 &  55)|Denver|CO|80203|US,683305,hmorales,241.920000000,241.920000000
98152,1478639,74,Fulfilled,2025-10-17 11:11:05.651000,2025-10-20 00:00:00,2025-10-20 14:33:01.771000,THE SCOOP AT SFO AP,"THE SCOOP AT SFO AP
1 TERMINAL SFO AIRPORT
SP C.2.209
BY GATE C7",San Francisco,CA,94128,US,THE SCOOP AT SFO AP|San Francisco|CA|94128|US,683311,hmorales,241.920000000,241.920000000
99596,1478677,74,Fulfilled,2025-10-21 11:41:38.516000,2025-10-22 00:00:00,2025-10-22 12:51:01.432000,WLV - FORUM SHOPS 0282,"3500 LAS VEGAS BLVD S.
SUITE #M01",LAS VEGAS,NV,89109,US,WLV - FORUM SHOPS 0282|LAS VEGAS|NV|89109|US,684107,hmorales,604.800000000,604.800000000
100093,1478701,74,Fulfilled,2025-10-23 16:23:53.120000,2025-10-28 00:00:00,2025-10-28 10:51:02.005000,DISTRICT MARKET-LGA AP,"DISTRICT MARKET-LGA AP
2353 US HIGHWAY 130
STE A
C/O WHSMITH - GXO DC",Dayton,NJ,08810,US,DISTRICT MARKET-LGA AP|Dayton|NJ|08810|US,686210,cfortin,241.920000000,241.920000000
100094,1478702,74,Fulfilled,2025-10-23 16:26:23.547000,2025-10-28 00:00:00,2025-10-28 10:18:01.030000,DISTRICT MARKET-SFO AP,"DISTRICT MARKET-SFO AP
3 N TERMINAL
Hub #F.2.030",San Francisco,CA,94128,US,DISTRICT MARKET-SFO AP|San Francisco|CA|94128|US,686208,cfortin,302.400000000,302.400000000
100601,1478714,74,Fulfilled,2025-10-24 16:02:50.540000,2025-11-10 00:00:00,2025-11-13 14:51:04.685000,AK BOULEVARD-LAX AP,"AK BOULEVARD-LAX AP
1924 E MAPLE AVENUE
UNIT B
C/O CREWS 1972",El Segundo,CA,90245,US,AK BOULEVARD-LAX AP|El Segundo|CA|90245|US,686215,cfortin,1814.400000000,1814.400000000
102038,1478933,74,Fulfilled,2025-10-30 15:01:32.922000,2025-11-03 00:00:00,2025-11-03 07:57:02.007000,NATALIES CANDY AT SEA-TAC  AP,"NATALIES CANDY AT SEA-TAC AP
17801 PACIFIC HIGHWAY SO
NORTH SATELLITE
SPACE NS-12",Seattle,WA,98158,US,NATALIES CANDY AT SEA-TAC  AP|Seattle|WA|98158|US,688439,hmorales,241.920000000,241.920000000
