so_id,so_num,date_issued,date_first_ship,status,ship_to_key,ship_to_name,ship_to_city,ship_to_state,ship_to_zip,ship_to_country,sku,customer_part,description,line_type,qty_ordered,qty_fulfilled,unit_price,total_price,total_cost,date_last_fulfillment
151801,1481004,2026-03-04 14:33:16.379000,2026-03-11 00:00:00,Fulfilled,CORE REVELRY-OCEAN RESORT CASINO|DAYTON|NJ|08810|US,CORE REVELRY-OCEAN RESORT CASINO,DAYTON,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399521324608,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-11 12:06:29.635000
151799,1481003,2026-03-04 14:31:51.731000,2026-03-11 00:00:00,Fulfilled,TELEGRAPH 1ST EDITION AC|DAYTON|NJ|08810|US,TELEGRAPH 1ST EDITION AC,DAYTON,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399521403359,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-11 12:06:29.980000
151803,1481006,2026-03-04 14:36:12.295000,2026-03-11 00:00:00,Fulfilled,Welcome to LV-Forum Shops|Las Vegas|NV|89109|US,Welcome to LV-Forum Shops,Las Vegas,NV,89109,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399521420774,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-11 12:06:30.330000
151804,1481007,2026-03-04 14:37:27.168000,2026-03-11 00:00:00,Fulfilled,ESSENTIALS-HILTON ELARA|LAS VEGAS|NV|89109|US,ESSENTIALS-HILTON ELARA,LAS VEGAS,NV,89109,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399521434163,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-11 12:06:30.674000
151806,1481009,2026-03-04 14:39:31.499000,2026-03-11 00:00:00,Fulfilled,UPTOWN ESSENTIALS-PSP AP|Palm Springs|CA|92262|US,UPTOWN ESSENTIALS-PSP AP,Palm Springs,CA,92262,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399521457197,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-11 12:06:31.020000
151805,1481008,2026-03-04 14:38:17.857000,2026-03-11 00:00:00,Fulfilled,La Palmas Oasis -- PSP|Palm Springs|CA|92262|US,La Palmas Oasis -- PSP,Palm Springs,CA,92262,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399521477372,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-11 12:06:31.357000
151821,1481023,2026-03-04 15:09:27.067000,2026-03-12 00:00:00,Fulfilled,DISTRICT MARKET-BWI AIRPORT|DAYTON|NJ|08810|US,DISTRICT MARKET-BWI AIRPORT,DAYTON,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399663194001,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 14:25:51.507000
151822,1481024,2026-03-04 15:10:34.593000,2026-03-12 00:00:00,Fulfilled,CITY ARTS MARKET-MCO AP|Orlando|FL|32827|US,CITY ARTS MARKET-MCO AP,Orlando,FL,32827,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399663279942,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 14:25:53.487000
151820,1481022,2026-03-04 15:06:35.046000,2026-03-12 00:00:00,Fulfilled,THE BOWERY BAY SHOPS-LGA AP|Dayton|NJ|08810|US,THE BOWERY BAY SHOPS-LGA AP,Dayton,NJ,08810,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399663288720,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 14:25:54.041000
151824,1481026,2026-03-04 15:13:03.144000,2026-03-12 00:00:00,Fulfilled,REPLENISH-MCO AIRPORT|ORLANDO|FL|32827|US,REPLENISH-MCO AIRPORT,ORLANDO,FL,32827,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399663296143,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 14:25:54.354000
151823,1481025,2026-03-04 15:11:30.676000,2026-03-12 00:00:00,Fulfilled,MAINSTREET MARKET-MCO AIRPORT|ORLANDO|FL|32827|US,MAINSTREET MARKET-MCO AIRPORT,ORLANDO,FL,32827,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399663308004,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 14:25:55.002000
151808,1481011,2026-03-04 14:44:25.168000,2026-03-12 00:00:00,Fulfilled,WELCOME LAS VEGAS-PROJECT 63|Las Vegas|NV|89109|US,WELCOME LAS VEGAS-PROJECT 63,Las Vegas,NV,89109,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399665973052,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 15:09:02.011000
151810,1481013,2026-03-04 14:47:58.860000,2026-03-12 00:00:00,Fulfilled,0711 TMZ-LAX AIRPORT (TBIT)|EL SEGUNDO|CA|90245|US,0711 TMZ-LAX AIRPORT (TBIT),EL SEGUNDO,CA,90245,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399665982550,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 15:09:02.619000
151819,1481021,2026-03-04 15:03:13.632000,2026-03-12 00:00:00,Fulfilled,0003 WELCOME LAS VEGAS GRAND CANAL  SHOPS|LAS VEGAS|NV|89109|US,0003 WELCOME LAS VEGAS GRAND CANAL  SHOPS,LAS VEGAS,NV,89109,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399665995962,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 15:09:03.128000
151813,1481016,2026-03-04 14:53:49.921000,2026-03-12 00:00:00,Fulfilled,0131 IMPULSE-SAHARA|LAS VEGAS|NV|89109|US,0131 IMPULSE-SAHARA,LAS VEGAS,NV,89109,US,ShipStation Shipping,,ShipStation shipping amount Tracking: 399669425784,Sale,1.000000000,1.000000000,0E-9,0E-9,0E-9,2026-03-16 16:27:03.553000
